chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
J02459.1	4	+	CG	1.000	3.00	3	6	3	6	0.438	1.000
J02459.1	7	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	13	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	15	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	23	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	43	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	53	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	59	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	69	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	119	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	135	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	155	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	178	+	CG	1.000	5.00	5	10	5	10	0.566	1.000
J02459.1	226	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	231	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	239	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	274	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	281	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	286	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	322	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	325	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	343	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	367	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	377	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	380	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	398	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	409	+	CG	0.400	5.00	2	7	5	7	0.118	0.769
J02459.1	442	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
